joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.00365561,-3.10834e-05,1.74732,1,1,0.00456951,3.10834e-05,0,
0,0,0,0,1.76487,1,1,0.00456951,3.10834e-05,0,
0,0,0.00365561,-0.300031,1.76319,1,0.136245,0.00456951,3.10834e-05,0,
0,0,0.00365561,-0.225031,1.76185,1,0.217215,0.00456951,3.10834e-05,0,
0,0,0.00365561,-0.150031,1.75803,1,0.512489,0.00456951,3.10834e-05,0,
0,0,0.00365561,-0.0750311,1.75023,1,0.651642,0.00456951,3.10834e-05,0,
0,0,0.00365561,-3.10834e-05,1.74732,1,1,0.00456951,3.10834e-05,0,
0,0,0.00365561,0.0749689,1.74987,1,0.628348,0.00456951,3.10834e-05,0,
0,0,0.00365561,0.149969,1.75746,1,0.527509,0.00456951,3.10834e-05,0,
0,0,0.00365561,0.224969,1.76144,1,0.236117,0.00456951,3.10834e-05,0,
0,0,0.00365561,0.299969,1.76289,1,0.130421,0.00456951,3.10834e-05,0,
0,0,0.0536556,-0.300031,1.5773,1,0.642911,0.00456951,3.10834e-05,0,
0,0,0.0536556,-0.225031,1.54733,1,0.643882,0.00456951,3.10834e-05,0,
0,0,0.0536556,-0.150031,1.5254,1,0.645822,0.00456951,3.10834e-05,0,
0,0,0.0536556,-0.0750311,1.51197,1,0.651642,0.00456951,3.10834e-05,0,
0,0,0.0536556,-3.10834e-05,1.50732,1,1,0.00456951,3.10834e-05,0,
0,0,0.0536556,0.0749689,1.51155,1,0.628348,0.00456951,3.10834e-05,0,
0,0,0.0536556,0.149969,1.52456,1,0.634175,0.00456951,3.10834e-05,0,
0,0,0.0536556,0.224969,1.54609,1,0.636117,0.00456951,3.10834e-05,0,
0,0,0.0536556,0.299969,1.57567,1,0.637088,0.00456951,3.10834e-05,0,
0,0,0.103656,-0.300031,1.3653,1,0.642911,0.00456951,3.10834e-05,0,
0,0,0.103656,-0.225031,1.32361,1,0.643882,0.00456951,3.10834e-05,0,
0,0,0.103656,-0.150031,1.29284,1,0.645822,0.00456951,3.10834e-05,0,
0,0,0.103656,-0.0750311,1.27388,1,0.651642,0.00456951,3.10834e-05,0,
0,0,0.103656,-3.10834e-05,1.26732,1,1,0.00456951,3.10834e-05,0,
0,0,0.103656,0.0749689,1.27338,1,0.628348,0.00456951,3.10834e-05,0,
0,0,0.103656,0.149969,1.29184,1,0.634175,0.00456951,3.10834e-05,0,
0,0,0.103656,0.224969,1.32215,1,0.636117,0.00456951,3.10834e-05,0,
0,0,0.103656,0.299969,1.36342,1,0.637088,0.00456951,3.10834e-05,0,
0,0,0.153656,-0.300031,1.15622,1,0.642911,0.00456951,3.10834e-05,0,
0,0,0.153656,-0.225031,1.10186,1,0.643882,0.00456951,3.10834e-05,0,
0,0,0.153656,-0.150031,1.06128,1,0.645822,0.00456951,3.10834e-05,0,
