dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,2

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
19.65,6.56208,4.70963,0,1,0.00961979,0.00236969,0.0119895,0.792304,0.0058985,0.8,-0
19.85,6.69344,4.71054,0,1,0.0101979,0.000362791,0.0105607,0.791842,-0.000902495,0.8,-0
20.051,6.85203,4.71157,0,1,0.0125619,0.000468636,0.0130305,0.789951,-0.00116302,0.8,-0
20.251,7.01027,4.71266,0,1,0.060692,0.0526036,0.113296,0.751446,-0.125326,0.8,-0
20.452,7.18911,4.7122,0,1,0.00833961,0.00753529,0.0158749,0.793328,-0.0187838,0.8,-0
20.653,7.34582,4.70813,0,1,0.00413551,0.00309579,0.0072313,0.796692,-0.00774864,0.8,-0
20.854,7.47759,4.70444,0,1,0.00401923,0.00630744,0.0103267,0.796785,-0.0157907,0.8,-0
21.053,7.63682,4.69986,0,1,0.00212854,0.00623356,0.00836209,0.798297,-0.0156353,0.8,-0
21.254,7.79636,4.69481,0,1,0.00471334,0.00603434,0.0107477,0.796229,-0.0150963,0.8,-0
21.454,7.95568,4.6893,0,1,0.00515884,0.00577085,0.0109297,0.795873,-0.0144305,0.8,-0
21.654,8.11472,4.68336,0,1,0.00316242,0.00644128,0.0096037,0.79747,-0.0161397,0.8,-0
21.855,8.27402,4.67695,0,1,0.00679566,0.00607967,0.0128753,0.794563,-0.0151779,0.8,-0
22.056,8.43285,4.67031,0,1,0.0056972,0.00499807,0.0106953,0.795442,-0.012491,0.8,-0
22.257,8.59144,4.6634,0,1,0.00347935,0.00724836,0.0107277,0.797217,-0.0181569,0.8,-0
22.458,8.75069,4.65622,0,1,0.0077267,0.00635207,0.0140788,0.793819,-0.0158433,0.8,-0
22.658,8.93647,4.64719,0,1,0.00860882,0.00531188,0.0139207,0.793113,-0.0132365,0.8,-0
22.858,9.06789,4.64045,0,1,0.00221822,0.00792324,0.0101415,0.798225,0.0198732,0.8,-0
23.059,9.25408,4.63084,0,1,0.00611461,0.00375989,0.00987451,0.795108,-0.0093923,0.8,-0
23.259,9.38587,4.62448,0,1,0.00620778,0.00360679,0.00981458,0.795034,-0.00900897,0.8,-0
23.461,9.5445,4.61665,0,1,0.00665958,0.0125972,0.0192567,0.794672,-0.0314657,0.8,-0
23.661,9.7033,4.60848,0,1,0.0083164,0.0116262,0.0199426,0.793347,-0.0289898,0.8,-0
