joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0,0,0.00826649,0.0725674,2.05232,1,1,0.0103331,0.00243257,
0,0,0.00826649,0.147567,2.01892,1,0.916818,0.0103331,0.00243257,
0,0,0.00826649,0.222567,1.98999,1,0.392207,0.0103331,0.00243257,
0,0,0.00826649,0.297567,1.9657,1,0.132046,0.0103331,0.00243257,
0,0,0.0582665,-0.302433,2.0886,1,1,0.0103331,0.00243257,
0,0,0.0582665,-0.227433,2.03445,1,1,0.0103331,0.00243257,
0,0,0.0582665,-0.152433,1.97531,1,1,0.0103331,0.00243257,
0,0,0.0582665,-0.0774326,1.92169,1,1,0.0103331,0.00243257,
0,0,0.0582665,-0.00243257,1.87412,1,1,0.0103331,0.00243257,
0,0,0.0582665,0.0725674,1.83309,1,1,0.0103331,0.00243257,
0,0,0.0582665,0.147567,1.79903,1,0.916818,0.0103331,0.00243257,
0,0,0.0582665,0.222567,1.77229,1,0.392207,0.0103331,0.00243257,
0,0,0.0582665,0.297567,1.7531,1,0.132046,0.0103331,0.00243257,
0,0,0.108266,-0.302433,1.92658,1,1,0.0103331,0.00243257,
0,0,0.108266,-0.227433,1.85088,1,1,0.0103331,0.00243257,
0,0,0.108266,-0.152433,1.78145,1,1,0.0103331,0.00243257,
0,0,0.108266,-0.0774326,1.71916,1,1,0.0103331,0.00243257,
0,0,0.108266,-0.00243257,1.66487,1,1,0.0103331,0.00243257,
0,0,0.108266,0.0725674,1.61941,1,1,0.0103331,0.00243257,
0,0,0.108266,0.147567,1.5835,1,0.916818,0.0103331,0.00243257,
0,0,0.108266,0.222567,1.55777,1,0.392207,0.0103331,0.00243257,
0,0,0.108266,0.297567,1.5426,1,0.132046,0.0103331,0.00243257,
0,0,0.158266,-0.302433,1.76518,1,1,0.0103331,0.00243257,
