dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,2,2,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
24.629,6.0342,4.67943,0,1,0,1,0.020094,0.0458038,0.0658978,0.783925,-0.113589,0.8,-0
24.827,6.19015,4.69358,0,1,0,1,0.0215335,0.0372581,0.0587916,0.782773,-0.0920442,0.8,-0
25.031,6.32076,4.70307,0,1,0,1,0.019527,0.0353846,0.0549116,0.784378,-0.0875557,0.8,-0
25.234,6.5031,4.71323,0,1,0,1,0.0196261,0.0324199,0.052046,0.784299,-0.0801582,0.8,-0
25.431,6.63375,4.71848,0,1,0,1,0.0295421,0.0339192,0.0634613,0.776366,-0.0830445,0.8,-0
25.632,6.7897,4.72297,0,1,0,1,0.0274742,0.0323002,0.0597744,0.778021,-0.079221,0.8,-0
25.833,6.94505,4.72516,0,1,0,1,0.0250272,0.0205836,0.0456108,0.779978,-0.050508,0.8,-0
26.031,7.10065,4.72527,0,1,0,1,0.0356264,0.0193348,0.0549612,0.771499,-0.0469201,0.8,-0
26.234,7.25576,4.72411,0,1,0,1,0.0380051,0.0187891,0.0567942,0.769596,-0.0454804,0.8,-0
26.438,7.43546,4.72095,0,1,0,1,0.0368051,0.0170015,0.0538066,0.770556,-0.0411959,0.8,-0
26.639,7.58914,4.71681,0,1,0,1,0.036721,0.0155756,0.0522966,0.770623,-0.0377384,0.8,-0
26.844,7.74334,4.7117,0,1,0,1,0.0391946,0.0150297,0.0542244,0.768644,-0.0363203,0.8,-0
27.042,7.89705,4.70558,0,1,0,1,0.0369257,0.00624686,0.0431726,0.770459,-0.0151223,0.8,-0
27.25,8.02542,4.69975,0,1,0,1,0.0406139,0.0086521,0.049266,0.767509,0.0208671,0.8,-0
27.449,8.2047,4.69129,0,1,0,1,0.0390996,0.0078368,0.0469364,0.76872,0.0189297,0.8,-0
27.651,8.33266,4.68582,0,1,0,1,0.0418011,0.00424317,0.0460443,0.766559,0.0102191,0.8,-0
27.855,8.4861,4.67986,0,1,0,1,0.0444116,0.0117764,0.056188,0.764471,0.0282958,0.8,-0
28.056,8.63907,4.67454,0,1,0,1,0.044438,0.0106489,0.0550869,0.76445,0.0255838,0.8,-0
28.261,8.79161,4.67008,0,1,0,1,0.0434,0.00397389,0.0473739,0.76528,0.0095545,0.8,-0
28.458,8.9446,4.66645,0,1,0,1,0.0425239,0.00358583,0.0461097,0.765981,0.00862932,0.8,-0
28.661,9.09748,4.66335,0,1,0,1,0.0431074,0.00294605,0.0460534,0.765514,0.00708525,0.8,-0
28.859,9.2757,4.66003,0,1,0,1,0.0424811,0.0114045,0.0538856,0.766015,-0.0274568,0.8,-0
29.057,9.42888,4.65711,0,1,0,1,0.0475749,0.0235967,0.0711715,0.76194,-0.0565872,0.8,-0
29.26,9.5563,4.65426,0,1,0,1,0.0488781,0.0478924,0.0967705,0.760898,-0.115355,0.8,-0
29.466,9.73327,4.64823,0,1,0,1,0.00457398,0.0418092,0.0463832,0.796341,-0.105203,0.8,-0
29.657,9.89085,4.63899,0,1,0,1,0.00559534,0.0613785,0.0669738,0.795524,-0.155328,0.8,-0
29.871,10.0234,4.62842,0,1,0,1,0.00168944,0.0486462,0.0503357,0.798648,-0.123014,0.8,-0
30.058,10.182,4.612,0,1,0,1,0.00136349,0.049874,0.0512375,0.801091,-0.126555,0.8,-0
30.265,10.3406,4.59178,0,1,0,1,0.00284092,0.0392404,0.0420813,0.797727,-0.098843,0.8,-0
30.463,10.4986,4.56795,0,1,0,1,0.000108763,0.0287565,0.0288653,0.799913,-0.0724623,0.8,-0
30.664,10.6817,4.5366,0,1,0,1,0.00871099,0.108725,0.117436,0.793031,-0.406303,0.8,-0.848896
30.858,10.8379,4.50503,0,1,0,1,0.00956552,0.125062,0.134627,0.792348,-0.651222,0.8,-1.5
31.059,10.9657,4.46972,0,1,0,1,0.00508775,0.00161957,0.00670732,0.79593,-0.787784,0.8,-0.783795
31.257,11.1365,4.40014,0,1,0,1,0.0026237,0.159306,0.161929,0.797901,-0.436386,0.8,-0
31.462,11.2751,4.3206,0,1,0,1,0.00310261,0.0609297,0.0640323,0.797518,-0.15455,0.8,-0
31.669,11.3854,4.24623,0,1,0,1,0.00555933,0.010306,0.0158654,0.795553,-0.0257669,0.8,-0
31.864,11.5149,4.15329,0,1,0,1,0.00398615,0.00969252,0.0136787,0.796811,-0.0242704,0.8,-0
32.067,11.6434,4.05923,0,1,0,1,0.00241803,0.00929283,0.0117109,0.798066,0.0233056,0.8,-0
32.268,11.7926,3.94916,0,1,0,1,0.0043864,0.0241196,0.028506,0.796491,-0.060469,0.8,-0
32.469,11.9209,3.85441,0,1,0,1,0.00623052,0.0249549,0.0311854,0.795016,-0.0624557,0.8,-0
32.674,12.0475,3.75852,0,1,0,1,0.00556159,0.0229961,0.0285577,0.795551,-0.0575744,0.8,-0
32.87,12.1731,3.66111,0,1,0,1,0.00746112,0.0195467,0.0270079,0.794031,-0.0488212,0.8,-0
33.088,12.2978,3.56237,0,1,0,1,0.00845976,0.00154437,0.0100041,0.793232,-0.224207,0.8,-0.230318
33.289,12.4202,3.46219,0,1,0,1,0.00921289,0.165349,0.174562,0.79263,-0.498464,0.8,-1.5
33.479,12.5192,3.37406,0,1,0,1,0.00981972,0.0928469,0.102667,0.792144,-0.798113,0.8,-1.5
33.681,12.628,3.25895,0,1,0,1,0.00934205,0.0487416,0.0580837,0.792526,-1.05762,0.8,-1.5
33.88,12.7322,3.10678,0,1,0,1,0.0167285,0.0434024,0.060131,0.786617,-1.08727,0.8,-1.5
34.076,12.7855,2.98663,0,1,0,1,0.0209362,0.230872,0.251808,0.783251,-0.694352,0.8,-0
34.285,12.825,2.83377,0,1,0,1,0.02175,0.140409,0.162159,0.7826,-0.369492,0.8,-0
34.49,12.8445,2.67859,0,1,0,1,0.0286066,0.0669729,0.0955795,0.777115,-0.114559,0.8,0.0513024
34.694,12.8528,2.52263,0,1,0,1,0.0294528,0.259246,0.288699,0.776438,0.192386,0.8,1.41866
34.895,12.8571,2.36691,0,1,0,1,0.0335095,0.167053,0.200563,0.773192,0.480482,0.8,1.5
35.092,12.8679,2.18624,0,1,0,1,0.0328392,0.103087,0.135926,0.773729,0.73096,0.8,1.5
35.286,12.8913,2.03284,0,1,0,1,0.0359771,0.149461,0.185438,0.771218,0.391312,0.8,-0
35.478,12.9247,1.9078,0,1,0,1,0.0345562,0.152958,0.187514,0.772355,0.402619,0.8,-0
35.68,12.9838,1.73783,0,1,0,1,0.0294039,0.141453,0.170857,0.776477,0.369722,0.8,-0
35.878,13.035,1.61902,0,1,0,1,0.125013,0.135094,0.260106,0.69999,0.316306,0.8,-0
36.09,13.1013,1.48706,0,1,0,1,0.178152,0.135926,0.314078,0.657478,0.299168,0.8,-0
36.288,13.1693,1.36934,0,1,0,1,0.23241,0.141904,0.374314,0.614072,0.293459,0.8,-0
36.49,13.2391,1.26236,0,1,0,1,0.286628,0.145406,0.432035,0.570697,0.280486,0.8,-0
36.695,13.3096,1.16599,0,1,0,1,0.337029,0.131788,0.468817,0.530377,0.23306,0.8,-0
36.919,13.391,1.06702,0,1,0,1,0.336858,0.0951556,0.432014,0.530513,0.163491,0.8,-0
37.121,13.4622,0.988446,0,1,0.609375,0.390625,0.0834651,0.353614,0.830971,0.733228,0.0220567,0.8,-1.5
37.317,13.5266,0.921703,0,1,0.669375,0.330625,0.0291689,0.357695,0.816807,0.776665,0.0333329,0.8,-1.5
37.494,13.6483,0.806775,0,1,0.724375,0.275625,0.0267675,0.328558,0.841701,0.778586,-0.0379021,0.8,-1.5
37.69,13.7632,0.702348,0.000681109,0.999319,0.75,0.25,0.0874164,0.324356,0.919127,0.730067,-0.0452093,0.8,-1.5
37.899,13.8737,0.601818,0.000583094,0.999417,0.75,0.25,0.134554,0.324834,0.966267,0.692357,-0.0418293,0.8,-1.5
38.098,13.9608,0.521742,0.000151999,0.999848,0.75,0.25,0.227459,0.333048,1.06084,0,-0.0213547,0.8,-1.5
38.313,14.0575,0.431221,0,1,0.724375,0.275625,0.357576,0.32167,1.17061,0,-0.0361806,0.8,-1.5
38.537,14.1281,0.364201,0,1,0,1,0.223145,0.0011585,0.224303,0.178516,-0.00363955,-0,-0
38.742,14.1725,0.321565,0,1,0,1,0,0,0,0,0,-0,-0
38.93,14.1944,0.300357,0,1,0,1,0,0,0,0,0,-0,-0
39.11,14.1964,0.298351,0,1,0,1,0.00351978,0.382122,0.385642,0.00281582,-0.299528,-0,-1.5
39.313,14.1965,0.298199,0,1,0,1,0.00124269,0.327418,0.328661,0.000994149,-0.471386,-0,-1.5
39.502,14.1966,0.298108,0,1,0,1,0.00122824,0.379022,0.380251,0.000982594,-0.309266,-0,-1.5
39.7,14.1966,0.298054,0,1,0,1,0.0489153,0.381551,0.430466,0.0391322,-0.301323,-0,-1.5
39.901,14.1986,0.294988,0,1,0,1,0.0488793,0.392027,0.440907,0.0391034,-0.26841,-0,-1.5
40.098,14.2026,0.288276,0,1,0,1,0.0490615,0.40104,0.450101,0.0392492,-0.240097,-0,-1.5
40.298,14.2063,0.281403,0,1,0,1,0.0485508,0.404216,0.452767,0.0388406,-0.230117,-0,-1.5
40.507,14.2104,0.273004,0,1,0,1,0.000240025,0.433214,0.433454,0.00019202,-0.139017,-0,-1.5
40.706,14.2118,0.270149,0,1,0,1,0.00212241,0.428188,0.43031,0.00169793,-0.154809,-0,-1.5
40.9,14.212,0.269565,0,1,0,1,0.00805617,0.436359,0.444415,0.00644493,-0.129138,-0,-1.5
41.101,14.2125,0.268352,0,1,0,1,0,0,0,0,0,-0,-0
41.3,14.2127,0.267787,0,1,0,1,0,0,0,0,0,-0,-0
41.499,14.212,0.269862,0,1,0,1,0,0,0,0,0,-0,-0
41.699,14.2113,0.27162,0,1,0,1,0,0,0,0,0,-0,-0
41.903,14.2105,0.273714,0,1,0,1,0,0,0,0,0,-0,-0
42.105,14.2097,0.275795,0,1,0,1,0,0,0,0,0,-0,-0
42.304,14.2088,0.277864,0,1,0,1,0,0,0,0,0,-0,-0
42.511,14.2077,0.280256,0,1,0,1,0,0,0,0,0,-0,-0
42.713,14.2068,0.282295,0,1,0,1,0,0,0,0,0,-0,-0
42.91,14.206,0.283987,0,1,0,1,0,0,0,0,0,-0,-0
43.116,14.2049,0.285999,0,1,0,1,0,0,0,0,0,-0,-0
43.314,14.2041,0.287656,0,1,0,1,0,0,0,0,0,-0,-0
43.518,14.2028,0.289975,0,1,0,1,0,0,0,0,0,-0,-0
43.715,14.2017,0.291938,0,1,0,1,0,0,0,0,0,-0,-0
43.923,14.2006,0.293884,0,1,0,1,0,0,0,0,0,-0,-0
44.118,14.1994,0.295812,0,1,0,1,0,0,0,0,0,-0,-0
44.323,14.1982,0.297722,0,1,0,1,0,0,0,0,0,-0,-0
44.52,14.197,0.299613,0,1,0,1,0,0,0,0,0,-0,-0
44.726,14.1957,0.301485,0,1,0,1,0,0,0,0,0,-0,-0
44.922,14.1944,0.303337,0,1,0,1,0,0,0,0,0,-0,-0
45.127,14.1928,0.305468,0,1,0,1,0,0,0,0,0,-0,-0
45.323,14.1915,0.307275,0,1,0,1,0,0,0,0,0,-0,-0
45.53,14.1901,0.309061,0,1,0,1,0,0,0,0,0,-0,-0
45.734,14.1889,0.310536,0,1,0,1,0,0,0,0,0,-0,-0
45.932,14.1875,0.312281,0,1,0,1,0,0,0,0,0,-0,-0
46.131,14.1857,0.314284,0,1,0,1,0,0,0,0,0,-0,-0
46.341,14.1842,0.315979,0,1,0,1,0,0,0,0,0,-0,-0
46.54,14.1829,0.317376,0,1,0,1,0,0,0,0,0,-0,-0
46.735,14.1814,0.319027,0,1,0,1,0,0,0,0,0,-0,-0
46.936,14.1798,0.320652,0,1,0,1,0,0,0,0,0,-0,-0
47.136,14.1782,0.322252,0,1,0,1,0,0,0,0,0,-0,-0
47.339,14.1763,0.324084,0,1,0,1,0,0,0,0,0,-0,-0
47.536,14.1746,0.325628,0,1,0,1,0,0,0,0,0,-0,-0
47.738,14.1732,0.326897,0,1,0,1,0,0,0,0,0,-0,-0
47.942,14.1712,0.328635,0,1,0,1,0,0,0,0,0,-0,-0
48.137,14.1694,0.330097,0,1,0,1,0,0,0,0,0,-0,-0
48.34,14.1679,0.331297,0,1,0,1,0,0,0,0,0,-0,-0
48.541,14.1661,0.332707,0,1,0,1,0,0,0,0,0,-0,-0
48.741,14.1643,0.334089,0,1,0,1,0,0,0,0,0,-0,-0
48.95,14.1625,0.335441,0,1,0,1,0,0,0,0,0,-0,-0
49.14,14.1603,0.336979,0,1,0,1,0,0,0,0,0,-0,-0
49.339,14.1584,0.338266,0,1,0,1,0,0,0,0,0,-0,-0
