dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
22.135,9.91291,4.34098,0,1,0,1,0.00756763,0.0117578,0.0193254,0.793946,0.0293402,0.8,-0
22.336,10.0679,4.30946,0,1,0,1,0.00475972,0.00922691,0.0139866,0.796192,0.0230858,0.8,-0
22.533,10.1978,4.28247,0,1,0,1,0.00778524,0.0109147,0.0186999,0.793772,0.0272286,0.8,-0
22.736,10.3794,4.24576,0,1,0,1,0.00897491,0.00807506,0.01705,0.79282,0.020117,0.8,-0
22.937,10.535,4.21531,0,1,0,1,0.0107513,0.00919925,0.0199505,0.791399,0.022878,0.8,-0
23.138,10.6907,4.18565,0,1,0,1,0.0132424,0.0100588,0.0233012,0.789406,0.024954,0.8,-0
23.34,10.8462,4.15693,0,1,0,1,0.0123614,0.0105708,0.0229322,0.790111,0.0262484,0.8,-0
23.534,11.0016,4.12918,0,1,0,1,0.012462,0.23684,0.249302,0.79003,-0.276608,0.8,-1.5
23.754,11.156,4.10006,0,1,0,1,0.0123568,0.147499,0.159855,0.790115,-0.561044,0.8,-1.5
23.939,11.3096,4.06216,0,1,0,1,0.0156552,0.0873001,0.102955,0.787476,-0.821559,0.8,-1.5
24.132,11.4575,4.00951,0,1,0,1,0.0189639,0.0757688,0.0947327,0.784829,-0.880536,0.8,-1.5
24.329,11.6184,3.92249,0,1,0,1,0.0228876,0.193665,0.216552,0.78169,-0.544497,0.8,-0
24.537,11.7222,3.84484,0,1,0,1,0.0216389,0.0957624,0.117401,0.782689,-0.24284,0.8,-0
24.74,11.8386,3.74152,0,1,0,1,0.0220554,0.0054247,0.0274801,0.782356,0.0133343,0.8,-0
24.945,11.9328,3.65083,0,1,0,1,0.0135698,0.0063593,0.0199291,0.789144,-0.0157679,0.8,-0
25.149,12.0832,3.50561,0,1,0,1,0.0149266,0.00694204,0.0218687,0.788059,-0.0171896,0.8,-0
25.351,12.1778,3.41377,0,1,0,1,0.0165215,0.00768331,0.0242048,0.786783,-0.0189949,0.8,-0
