dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1

joyvel,joyang,CandVel,CandAng,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost
0,1.5,0.000473461,0.149998,0,1,0,1,0.000591827,0.900002,0.900593
0,1.5,0.000473461,0.299998,0,1,0,1,0.000591827,0.800002,0.800593
0,1.5,0.000473461,0.449998,0,1,0,1,0.000591827,0.700002,0.700593
0,1.5,0.000473461,0.599998,0,1,0,1,0.000591827,0.600002,0.600593
0,1.5,0.100473,-0.750002,0,1,0,1,0.125592,1.5,1.62559
0,1.5,0.100473,-0.600002,0,1,0,1,0.125592,1.4,1.52559
0,1.5,0.100473,-0.450002,0,1,0,1,0.125592,1.3,1.42559
0,1.5,0.100473,-0.300002,0,1,0,1,0.125592,1.2,1.32559
0,1.5,0.100473,-0.150002,0,1,0,1,0.125592,1.1,1.22559
0,1.5,0.100473,-2.30252e-06,0,1,0,1,0.125592,1,1.12559
0,1.5,0.100473,0.149998,0,1,0,1,0.125592,0.900002,1.02559
0,1.5,0.100473,0.299998,0,1,0,1,0.125592,0.800002,0.925593
0,1.5,0.100473,0.449998,0,1,0,1,0.125592,0.700002,0.825593
0,1.5,0.100473,0.599998,0,1,0,1,0.125592,0.600002,0.725593
0,1.5,0.200473,-0.750002,0,1,0,1,0.250592,1.5,1.75059
0,1.5,0.200473,-0.600002,0,1,0,1,0.250592,1.4,1.65059
0,1.5,0.200473,-0.450002,0,1,0,1,0.250592,1.3,1.55059
0,1.5,0.200473,-0.300002,0,1,0,1,0.250592,1.2,1.45059
0,1.5,0.200473,-0.150002,0,1,0,1,0.250592,1.1,1.35059
0,1.5,0.200473,-2.30252e-06,0,1,0,1,0.250592,1,1.25059
0,1.5,0.200473,0.149998,0,1,0,1,0.250592,0.900002,1.15059
0,1.5,0.200473,0.299998,0,1,0,1,0.250592,0.800002,1.05059
0,1.5,0.200473,0.449998,0,1,0,1,0.250592,0.700002,0.950593
0,1.5,0.200473,0.599998,0,1,0,1,0.250592,0.600002,0.850593
0,1.5,0.300473,-0.750002,0,1,0,1,0.375592,1.5,1.87559
0,1.5,0.300473,-0.600002,0,1,0,1,0.375592,1.4,1.77559
0,1.5,0.300473,-0.450002,0,1,0,1,0.375592,1.3,1.67559
0,1.5,0.300473,-0.300002,0,1,0,1,0.375592,1.2,1.57559
0,1.5,0.300473,-0.150002,0,1,0,1,0.375592,1.1,1.47559
0,1.5,0.300473,-2.30252e-06,0,1,0,1,0.375592,1,1.37559
0,1.5,0.300473,0.149998,0,1,0,1,0.375592,0.900002,1.27559
0,1.5,0.300473,0.299998,0,1,0,1,0.375592,0.800002,1.17559
0,1.5,0.300473,0.449998,0,1,0,1,0.375592,0.700002,1.07559
0,1.5,0.300473,0.599998,0,1,0,1,0.375592,0.600002,0.975593
0,1.5,0.400473,-0.750002,0,1,0,1,0.500592,1.5,2.00059
0,1.5,0.400473,-0.600002,0,1,0,1,0.500592,1.4,1.90059
0,1.5,0.400473,-0.450002,0,1,0,1,0.500592,1.3,1.80059
0,1.5,0.400473,-0.300002,0,1,0,1,0.500592,1.2,1.70059
