joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.12251,-0.749654,1.65893,1,0.979908,0.153138,0.49977,0.662958,
0,0,0.12251,-0.562154,1.64234,1,1,0.153138,0.37477,0.527907,
0,0,0.12251,-0.374654,1.6258,1,1,0.153138,0.24977,0.402907,
0,0,0.12251,-0.187154,1.60932,1,1,0.153138,0.12477,0.277907,
0,0,0.12251,0.00034572,1.35323,1,1,0.153138,0.00023048,0.153368,
0,0,0.12251,0.187846,0.937394,1,1,0.153138,0.12523,0.278368,
0,0,0.12251,0.375346,0.568898,1,0.657247,0.153138,0.25023,0.660354,
0,0,0.12251,0.562846,0.268513,0.879814,0.142212,0.153138,0.37523,1.16607,
0,0,0.12251,0.750346,0.132321,0.526481,0.0196356,0.153138,0.50023,1.54433,
0,0,0.24751,-0.749654,1.64748,1,0.979908,0.309388,0.49977,0.819208,
0,0,0.24751,-0.562154,1.63077,1,1,0.309388,0.37477,0.684157,
0,0,0.24751,-0.374654,1.61411,1,1,0.309388,0.24977,0.559157,
0,0,0.24751,-0.187154,1.5592,1,1,0.309388,0.12477,0.434157,
0,0,0.24751,0.00034572,1.20361,0.355039,1,0.309388,0.00023048,0.755036,
0,0,0.24751,0.187846,0.769487,0.320157,1,0.309388,0.12523,0.904126,
0,0,0.24751,0.375346,0.357976,0.185616,0.460886,0.309388,0.25023,1.52625,
0,0,0.24751,0.562846,0.0116004,0.0193576,0.00580801,0.309388,0.37523,1.983,
0,0,0.24751,0.750346,0.00644878,0.0110814,0.00225931,0.309388,0.50023,1.99122,
0,0,0.37251,-0.749654,1.63555,1,0.922557,0.465638,0.49977,1.00415,
0,0,0.37251,-0.562154,1.6195,0.967001,1,0.465638,0.37477,0.858041,
0,0,0.37251,-0.374654,1.59457,0.972052,1,0.465638,0.24977,0.730342,
0,0,0.37251,-0.187154,1.48474,0.51672,1,0.465638,0.12477,0.848654,
0,0,0.37251,0.00034572,1.1179,0.168143,1,0.465638,0.00023048,0.910381,
0,0,0.37251,0.187846,0.677298,0.100529,1,0.465638,0.12523,1.07151,
0,0,0.37251,0.375346,0.25333,0.0712134,0.329979,0.465638,0.25023,1.71454,
0,0,0.37251,0.562846,0.0200159,0.0161149,0.0142271,0.465638,0.37523,1.9825,
0,0,0.37251,0.750346,0.005942,0.00793437,0.000402185,0.465638,0.50023,1.99556,
0,0,0.49751,-0.749654,1.62236,0.852069,0.922557,0.621888,0.49977,1.21633,
0,0,0.49751,-0.562154,1.60585,0.752396,1,0.621888,0.37477,1.09028,
