dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1.875

joyvel,joyang,CandVel,CandAng,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost
0,0,0.101639,-0.725628,1,0,0.29856,0.70144,0.127049,0.483752,1.63788
0,0,0.101639,-0.575628,1,0,0.44356,0.55644,0.127049,0.383752,1.65709
0,0,0.101639,-0.425628,1,0,0.58856,0.41144,0.127049,0.283752,1.70531
0,0,0.101639,-0.275628,1,0,0.73356,0.26644,0.127049,0.183752,1.78252
0,0,0.101639,-0.125628,1,0,0.87856,0.12144,0.127049,0.083752,1.88873
0,0,0.101639,0.024372,1,0,0.97644,0.0235596,0.127049,0.016248,1.97682
0,0,0.101639,0.174372,1,0,0.83144,0.16856,0.127049,0.116248,1.85104
0,0,0.101639,0.324372,1,0,0.68644,0.31356,0.127049,0.216248,1.75425
0,0,0.101639,0.474372,1,0,0.54144,0.45856,0.127049,0.316248,1.68646
0,0,0.101639,0.624372,1,0,0.39644,0.60356,0.127049,0.416248,1.64767
0,0,0.201639,-0.725628,1,0,0.29856,0.70144,0.252049,0.483752,1.63788
0,0,0.201639,-0.575628,1,0,0.44356,0.55644,0.252049,0.383752,1.65709
0,0,0.201639,-0.425628,1,0,0.58856,0.41144,0.252049,0.283752,1.70531
0,0,0.201639,-0.275628,1,0,0.73356,0.26644,0.252049,0.183752,1.78252
0,0,0.201639,-0.125628,1,0,0.87856,0.12144,0.252049,0.083752,1.88873
0,0,0.201639,0.024372,1,0,0.97644,0.0235596,0.252049,0.016248,1.97682
0,0,0.201639,0.174372,1,0,0.83144,0.16856,0.252049,0.116248,1.85104
0,0,0.201639,0.324372,1,0,0.68644,0.31356,0.252049,0.216248,1.75425
0,0,0.201639,0.474372,1,0,0.54144,0.45856,0.252049,0.316248,1.68646
0,0,0.201639,0.624372,1,0,0.39644,0.60356,0.252049,0.416248,1.64767
0,0,0.301639,-0.725628,1,0,0.29856,0.70144,0.377049,0.483752,1.63788
0,0,0.301639,-0.575628,1,0,0.44356,0.55644,0.377049,0.383752,1.65709
0,0,0.301639,-0.425628,1,0,0.58856,0.41144,0.377049,0.283752,1.70531
0,0,0.301639,-0.275628,1,0,0.73356,0.26644,0.377049,0.183752,1.78252
0,0,0.301639,-0.125628,1,0,0.87856,0.12144,0.377049,0.083752,1.88873
0,0,0.301639,0.024372,1,0,0.97644,0.0235596,0.377049,0.016248,1.97682
0,0,0.301639,0.174372,1,0,0.83144,0.16856,0.377049,0.116248,1.85104
0,0,0.301639,0.324372,1,0,0.68644,0.31356,0.377049,0.216248,1.75425
0,0,0.301639,0.474372,1,0,0.54144,0.45856,0.377049,0.316248,1.68646
0,0,0.301639,0.624372,1,0,0.39644,0.60356,0.377049,0.416248,1.64767
0,0,0.401639,-0.725628,1,0,0.29856,0.70144,0.502049,0.483752,1.63788
0,0,0.401639,-0.575628,1,0,0.44356,0.55644,0.502049,0.383752,1.65709
0,0,0.401639,-0.425628,1,0,0.58856,0.41144,0.502049,0.283752,1.70531
0,0,0.401639,-0.275628,1,0,0.73356,0.26644,0.502049,0.183752,1.78252
0,0,0.401639,-0.125628,1,0,0.87856,0.12144,0.502049,0.083752,1.88873
0,0,0.401639,0.024372,1,0,0.97644,0.0235596,0.502049,0.016248,1.97682
0,0,0.401639,0.174372,1,0,0.83144,0.16856,0.502049,0.116248,1.85104
0,0,0.401639,0.324372,1,0,0.68644,0.31356,0.502049,0.216248,1.75425
0,0,0.401639,0.474372,1,0,0.54144,0.45856,0.502049,0.316248,1.68646
0,0,0.401639,0.624372,1,0,0.39644,0.60356,0.502049,0.416248,1.64767
0,0,0.501639,-0.725628,1,0,0.29856,0.70144,0.627049,0.483752,1.63788
0,0,0.501639,-0.575628,1,0,0.44356,0.55644,0.627049,0.383752,1.65709
0,0,0.501639,-0.425628,1,0,0.58856,0.41144,0.627049,0.283752,1.70531
0,0,0.501639,-0.275628,1,0,0.73356,0.26644,0.627049,0.183752,1.78252
0,0,0.501639,-0.125628,1,0,0.87856,0.12144,0.627049,0.083752,1.88873
0,0,0.501639,0.024372,1,0,0.97644,0.0235596,0.627049,0.016248,1.97682
0,0,0.501639,0.174372,1,0,0.83144,0.16856,0.627049,0.116248,1.85104
0,0,0.501639,0.324372,1,0,0.68644,0.31356,0.627049,0.216248,1.75425
0,0,0.501639,0.474372,1,0,0.54144,0.45856,0.627049,0.316248,1.68646
0,0,0.501639,0.624372,1,0,0.39644,0.60356,0.627049,0.416248,1.64767

0,0,0.00173898,0.00105868,1,0,0.998977,0.00102339,0.00217372,0.000705786,1.99898
0,0,0,0,0,1,0,1,0,0,0
0,0,0.00173898,-0.748941,1,0,0.276023,0.723977,0.00217372,0.499294,1.6375
0,0,0.00173898,-0.598941,1,0,0.421023,0.578977,0.00217372,0.399294,1.65221
0,0,0.00173898,-0.448941,1,0,0.566023,0.433977,0.00217372,0.299294,1.69591
0,0,0.00173898,-0.298941,1,0,0.711023,0.288977,0.00217372,0.199294,1.76861
0,0,0.00173898,-0.148941,1,0,0.856023,0.143977,0.00217372,0.0992942,1.87032
0,0,0.00173898,0.00105868,1,0,0.998977,0.00102339,0.00217372,0.000705786,1.99898
0,0,0.00173898,0.151059,1,0,0.853977,0.146023,0.00217372,0.100706,1.86868
