CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0.0986587,-0.0749626,1.28826,1,0.663305,0.00167657,3.74313e-05,
0.0986587,3.74313e-05,1.28164,1,1,0.00167657,3.74313e-05,
0.0986587,0.0750374,1.28729,1,0.616718,0.00167657,3.74313e-05,
0.0986587,0.150037,1.30504,1,0.628356,0.00167657,3.74313e-05,
0.0986587,0.225037,1.33434,1,0.632237,0.00167657,3.74313e-05,
0.0986587,0.300037,1.37436,1,0.634177,0.00167657,3.74313e-05,
0.148659,-0.299963,1.16884,1,0.645824,0.00167657,3.74313e-05,
0.148659,-0.224963,1.11537,1,0.647766,0.00167657,3.74313e-05,
0.148659,-0.149963,1.0754,1,0.65165,0.00167657,3.74313e-05,
0.148659,-0.0749626,1.05048,1,0.663305,0.00167657,3.74313e-05,
0.148659,3.74313e-05,1.04164,1,1,0.00167657,3.74313e-05,
0.148659,0.0750374,1.04929,1,0.616718,0.00167657,3.74313e-05,
0.148659,0.150037,1.0731,1,0.628356,0.00167657,3.74313e-05,
0.148659,0.225037,1.11203,1,0.632237,0.00167657,3.74313e-05,
0.148659,0.300037,1.16459,1,0.634177,0.00167657,3.74313e-05,
0.198659,-0.299963,0.964471,1,0.645824,0.00167657,3.74313e-05,
0.198659,-0.224963,0.897001,1,0.647766,0.00167657,3.74313e-05,
0.198659,-0.149963,0.8457,1,0.65165,0.00167657,3.74313e-05,
0.198659,-0.0749626,0.813242,1,0.663305,0.00167657,3.74313e-05,
0.198659,3.74313e-05,0.801646,1,1,0.00167657,3.74313e-05,
0.198659,0.0750374,0.811715,1,0.616718,0.00167657,3.74313e-05,
0.198659,0.150037,0.842762,1,0.628356,0.00167657,3.74313e-05,
0.198659,0.225037,0.892844,1,0.632237,0.00167657,3.74313e-05,
0.198659,0.300037,0.959314,1,0.634177,0.00167657,3.74313e-05,
-0.00158366,4.5715e-05,1.74759,1,1,0.00197957,4.5715e-05,
0,0,1.75519,1,1,0.00197957,4.5715e-05,
0.0484163,-0.299954,1.59101,1,0.645824,0.00197957,4.5715e-05,
0.0484163,-0.224954,1.56192,1,0.647766,0.00197957,4.5715e-05,
0.0484163,-0.149954,1.54061,1,0.65165,0.00197957,4.5715e-05,
0.0484163,-0.0749543,1.52748,1,0.663308,0.00197957,4.5715e-05,
0.0484163,4.5715e-05,1.5228,1,1,0.00197957,4.5715e-05,
0.0484163,0.0750457,1.52666,1,0.61672,0.00197957,4.5715e-05,
0.0484163,0.150046,1.539,1,0.628357,0.00197957,4.5715e-05,
0.0484163,0.225046,1.55954,1,0.632237,0.00197957,4.5715e-05,
0.0484163,0.300046,1.58788,1,0.634177,0.00197957,4.5715e-05,
0.0984163,-0.299954,1.37899,1,0.645824,0.00197957,4.5715e-05,
0.0984163,-0.224954,1.33821,1,0.647766,0.00197957,4.5715e-05,
0.0984163,-0.149954,1.30806,1,0.65165,0.00197957,4.5715e-05,
0.0984163,-0.0749543,1.28941,1,0.663308,0.00197957,4.5715e-05,
0.0984163,4.5715e-05,1.2828,1,1,0.00197957,4.5715e-05,
0.0984163,0.0750457,1.28845,1,0.61672,0.00197957,4.5715e-05,
0.0984163,0.150046,1.30617,1,0.628357,0.00197957,4.5715e-05,
0.0984163,0.225046,1.33543,1,0.632237,0.00197957,4.5715e-05,
0.0984163,0.300046,1.37539,1,0.634177,0.00197957,4.5715e-05,
0.148416,-0.299954,1.16984,1,0.645824,0.00197957,4.5715e-05,
0.148416,-0.224954,1.11643,1,0.647766,0.00197957,4.5715e-05,
0.148416,-0.149954,1.07652,1,0.65165,0.00197957,4.5715e-05,
0.148416,-0.0749543,1.05163,1,0.663308,0.00197957,4.5715e-05,
0.148416,4.5715e-05,1.0428,1,1,0.00197957,4.5715e-05,
0.148416,0.0750457,1.05045,1,0.61672,0.00197957,4.5715e-05,
0.148416,0.150046,1.07422,1,0.628357,0.00197957,4.5715e-05,
0.148416,0.225046,1.1131,1,0.632237,0.00197957,4.5715e-05,
0.148416,0.300046,1.1656,1,0.634177,0.00197957,4.5715e-05,
0.198416,-0.299954,0.965437,1,0.645824,0.00197957,4.5715e-05,
0.198416,-0.224954,0.898041,1,0.647766,0.00197957,4.5715e-05,
0.198416,-0.149954,0.846802,1,0.65165,0.00197957,4.5715e-05,
0.198416,-0.0749543,0.814387,1,0.663308,0.00197957,4.5715e-05,
0.198416,4.5715e-05,0.80281,1,1,0.00197957,4.5715e-05,
0.198416,0.0750457,0.812867,1,0.61672,0.00197957,4.5715e-05,
0.198416,0.150046,0.843877,1,0.628357,0.00197957,4.5715e-05,
0.198416,0.225046,0.893901,1,0.632237,0.00197957,4.5715e-05,
0.198416,0.300046,0.960302,1,0.634177,0.00197957,4.5715e-05,
-0.00389831,6.28706e-05,1.73648,1,1,0.00487289,0.477485,
0,0,1.75519,1,1,0.00487289,0.477485,
0.0461017,-0.299937,1.60087,1,0.645825,0.00487289,0.477485,
0.0461017,-0.224937,1.57231,1,0.647767,0.00487289,0.477485,
0.0461017,-0.149937,1.55139,1,0.651652,0.00487289,0.477485,
0.0461017,-0.0749371,1.5385,1,0.663313,0.00487289,0.477485,
0.0461017,6.28706e-05,1.53391,1,1,0.00487289,0.477485,
0.0461017,0.0750629,1.5377,1,0.616726,0.00487289,0.477485,
