dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
20.854,4.76293,2.35496,-0.126403,1.1264,0.00399445,0.00773043,-0.113196,-0.00319556,-0.0242859
21.054,4.7623,2.35493,-0.183406,1.18341,0.00840945,0.00785253,-0.164162,-0.00672756,-0.0246695
21.254,4.76104,2.35487,-0.194247,1.19425,0.00943301,0.00760726,-0.173897,-0.00754641,-0.0238989
21.455,4.75952,2.35481,-0.204833,1.20483,0.0104891,0.00734577,-0.183345,-0.00839129,-0.0230774
21.655,4.75783,2.35475,-0.22097,1.22097,0.0122069,0.00714245,-0.197345,-0.00976554,-0.0224387
21.856,4.75621,2.3547,-0.216743,1.21674,0.0117444,0.0065308,-0.194507,-0.00939549,-0.0205171
22.058,4.75425,2.35464,-0.213435,1.21343,0.0113886,0.00596743,-0.192375,-0.0091109,-0.0187472
22.258,4.75203,2.35459,-0.241964,1.24196,0.0146367,0.00583258,-0.216542,-0.0117093,-0.0183236
22.459,4.75011,2.35455,-0.22161,1.22161,0.0122777,0.00544366,-0.199961,-0.00982218,-0.0171018
22.659,4.74795,2.35451,-0.199201,1.1992,0.00992024,0.00509694,-0.181192,-0.0079362,-0.0160125
22.86,4.74617,2.35448,0.412255,0.587745,0.0025713,0.136868,0.49421,0.0339908,-0.0155883
23.061,4.76031,2.35505,0.67166,0.32834,0.887218,0.0269886,0.971831,0.0902254,0.00766833
23.262,4.75919,2.35453,0.261435,0.738565,0.0170871,0.00212493,0.275625,0.0136697,-0.00667568
23.462,4.75355,2.35403,1,0,0.103844,0.281353,1,-0.0830752,0.883897
23.663,4.74002,2.35024,0.866277,0.133723,0.0269931,0.0716613,0.879469,0.0215945,0.225131
23.865,4.73104,2.34223,1,0,1,3.14159,1,0,0
24.065,4.73039,2.34178,1,0,0.956998,0.51533,1,-0.0344016,0.713745
24.265,4.70359,2.32084,1,0,0.670768,0.63046,1,-0.263385,0.606243
24.465,4.65255,2.26944,0,1,0.44306,0.753172,1.19623,-0.445552,0.43676
24.665,4.57109,2.15987,0,1,0.871845,0.213576,1.08542,-0.697476,0.670968
24.866,4.50277,2.03726,0,1,0.873468,0.185216,1.05868,-0.698775,0.581874
25.07,4.44925,1.90833,0,1,0.872206,0.15637,1.02858,-0.697765,0.49125
25.267,4.41454,1.79669,0,1,0.869675,0.143444,1.01312,-0.69574,0.450643
25.467,4.38369,1.66109,0,1,0.870261,0.139328,1.00959,-0.696209,0.437711
25.668,4.36628,1.54643,0,1,0.864074,0.131974,0.996048,-0.691259,0.414609
25.87,4.35411,1.38476,0,1,0.866966,0.116268,0.983234,-0.693573,0.365266
26.071,4.3547,1.24644,0,1,0.866646,0.103023,0.969669,-0.693317,0.323656
26.272,4.36431,1.10818,0,1,0.862379,0.0975841,0.959963,-0.689903,0.30657
26.473,4.38207,0.971149,0,1,0,0,0,0,0
26.672,4.40712,0.844187,0,1,0.710646,0.204956,0.915602,-0.568517,0.643887
26.877,4.44746,0.721856,0,1,0.70612,0.194843,0.900963,-0.564896,0.612118
27.079,4.49581,0.61995,0,1,0.706664,0.170665,0.877329,-0.565331,0.536161
27.278,4.55482,0.522907,0,1,0.705639,0.158441,0.86408,-0.564511,0.497757
27.477,4.61036,0.447066,0,1,0.699488,0.127897,0.827385,-0.55959,0.401799
27.678,4.6962,0.348136,0,1,0,0,0,0,0
27.878,4.72981,0.293046,0,1,0.0323825,0.150792,0.183175,0.025906,0.473727
28.078,4.7329,0.267374,0,1,0.0327517,0.31593,0.348682,0.0262014,0.992525
28.279,4.73845,0.264704,0,1,0.0467642,0.124673,0.171437,0.0374113,0.391672
28.479,4.73468,0.265902,0,1,0.0469545,0.0171956,0.06415,0.0375636,0.0540214
28.679,4.72787,0.267697,0,1,0,0,0,0,0
28.88,4.72561,0.268256,0,1,0,0,0,0,0
29.083,4.72568,0.26824,0,1,0.320594,0.00290059,0.323494,0.161575,-0.00147238
29.281,4.71535,0.270707,0,1,0,0,0,0,0
29.482,4.69467,0.275612,0,1,0.0333581,0.37992,0.413278,0.0266865,0.306445
29.682,4.69082,0.276401,0,1,0.0338337,0.287984,0.321818,0.0270669,0.595271
29.885,4.68683,0.276988,0,1,0.0354548,0.215877,0.251332,0.0283638,0.821803
30.085,4.6817,0.277203,0,1,0.0344202,0.155479,0.189899,0.0275361,1.01155
30.286,4.67913,0.276894,0,1,0.0206168,0.137276,0.157892,0.0164934,0.431264
30.486,4.67571,0.275931,0,1,0.0183664,0.0352612,0.0536276,0.0146931,0.110776
30.687,4.6732,0.275095,0,1,0.78269,0.0514034,0.834093,0.173848,-0.0283211
30.887,4.66012,0.270447,0,1,0.561308,0.0193372,0.580645,0.350954,0.0213466
31.087,4.61087,0.251987,0,1,0.354151,0.0524772,0.406628,0.516679,-0.0859609
31.288,4.53229,0.220518,0,1,0.17738,0.0640757,0.241456,0.658096,-0.134293
31.489,4.42491,0.17809,0,1,0.0272173,0.0695583,0.0967756,0.778226,-0.172821
31.69,4.3151,0.13593,0,1,0.00206394,0.0773115,0.0793754,0.798349,-0.197809
31.89,4.16687,0.0820312,0,1,0.000616742,0.0732147,0.0738314,0.800493,-0.187439
32.09,4.01464,0.0325489,0,1,0.00363905,0.0731274,0.0767665,0.802911,-0.187773
32.291,3.86059,-0.0116678,0,1,0.00318564,0.0674145,0.0706002,0.797451,-0.171463
32.491,3.70572,-0.0509088,0,1,0.000569151,0.0630928,0.0636619,0.799545,-0.160588
32.692,3.52416,-0.0902328,0,1,0.0480442,0.0796315,0.127676,0.761565,-0.194597
32.892,3.37344,-0.117764,0,1,0.0412734,0.058108,0.0993814,0.766981,-0.14159
33.093,3.24701,-0.137098,0,1,0.0442477,0.0558056,0.100053,0.764602,-0.135439
33.293,3.12122,-0.153599,0,1,0.00329219,0.042724,0.0460162,0.797366,-0.107671
33.493,2.91366,-0.175216,0,1,0.00141085,0.0459928,0.0474037,0.801129,-0.116568
33.693,2.75437,-0.187851,0,1,0.00233683,0.0423235,0.0446604,0.801869,-0.107252
33.894,2.62097,-0.195832,0,1,0.00155747,0.0241461,0.0257036,0.798754,-0.0607079
34.094,2.46124,-0.202671,0,1,0.00201707,0.0211965,0.0232136,0.798386,-0.0532438
34.294,2.30174,-0.207567,0.376992,0.623008,0.00514049,0.00360659,0.382441,0.795888,0.00901814
34.495,2.14257,-0.211244,0.369741,0.630259,0.00886319,0.00431976,0.37805,0.792909,-0.0107612
34.695,1.98396,-0.214892,0.382976,0.617024,0.00997463,0.00767931,0.393869,0.79202,-0.0191114
34.896,1.82573,-0.218031,0.397616,0.602384,0.0118828,0.0159469,0.414381,0.790494,0.0396359
35.099,1.66766,-0.220861,0.414211,0.585789,0.0134704,0.0124994,0.429423,0.789224,0.0310072
35.296,1.50998,-0.224691,0.433361,0.566639,0.0140385,0.00334569,0.443212,0.788769,0.0082909
35.5,1.32652,-0.230003,0.443345,0.556655,0.0172256,0.0192053,0.463625,0.78622,-0.0474944
35.699,1.16932,-0.234127,0.48119,0.51881,0.0159377,0.0157393,0.497625,0.78725,-0.0389585
35.898,1.01236,-0.237095,0.456238,0.543762,0.0633121,0.0344237,0.509383,0.74935,-0.272322
36.098,0.885427,-0.237745,0.419983,0.580017,0.162169,0.0971229,0.570376,0.670265,-0.556066
36.298,0.717086,-0.231619,0.377382,0.622618,0.181103,0.104899,0.555452,0.655118,-0.611883
36.499,0.586631,-0.216101,0,1,0.0850427,0.0683086,0.153351,0.610457,-0.82096
36.701,0.463587,-0.187663,0,1,0.522409,0.00217399,0.524583,0.417928,-0.806864
36.902,0.36901,-0.154621,0,1,0.432542,0.118467,0.55101,0.346034,-0.586207
37.102,0.289249,-0.121573,0,1,0.18634,0.0356114,0.221952,0.149072,-0.325907
37.302,0.233037,-0.0928843,0,1,0.057374,0.0058533,0.0632273,0.0458992,-0.195642
37.502,0.203458,-0.0755926,0,1,0.0391949,0.0317428,0.0709377,0.0313559,-0.313753
37.702,0.200459,-0.0732963,0,1,0.0105633,0.000916691,0.01148,0.00845066,-0.21691
37.903,0.196041,-0.0698857,0,1,0.0265048,0.0026424,0.0291472,0.0212038,-0.205729
38.103,0.190306,-0.0652195,0,1,0.00811895,0.00745841,0.0155774,0.00649516,-0.253749
38.303,0.183486,-0.0597162,0,1,0.00334283,0.0948089,0.0981517,0.00267426,-0.274306
38.504,0.177985,-0.0552926,0,1,0.0274402,0.078699,0.106139,0.0219521,-0.406305
38.704,0.17577,-0.0533683,0,1,0.0211871,0.00624389,0.0274309,0.0169496,-0.715317
