dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,3

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
22.725,0.325251,4.30472,0,1,0,1,0.0142768,0.0271344,0.0414112,0.788579,-0.0407016
22.923,0.340277,4.14792,0,1,0,1,0.0166484,0.0658088,0.0824572,0.786681,-0.0987133
23.121,0.353632,3.99138,0,1,0,1,0.019932,0.0330271,0.0529591,0.784054,-0.0495407
23.326,0.364436,3.8348,0,1,0,1,0.02415,0.0549565,0.0791065,0.78068,-0.0824347
23.526,0.373447,3.6788,0,1,0,1,0.0270252,0.0538989,0.0809241,0.77838,-0.0808483
23.725,0.379195,3.54977,0,1,0,1,0.0315175,0.0432244,0.0747419,0.774786,-0.0648366
23.926,0.38399,3.39454,0,1,0,1,0.0377542,0.0523713,0.0901255,0.769797,-0.0785569
24.129,0.387167,3.21438,0,1,0,1,0.0404407,0.0512658,0.0917065,0.767647,-0.0768988
24.323,0.387548,3.06093,0,1,0,1,0.0396364,0.00710147,0.0467379,0.768291,-0.0106522
24.526,0.386309,2.90727,0,1,0,1,0.0397675,0.739925,0.779692,0.768186,-0.0655928
24.724,0.384154,2.75393,0,1,0,1,0.0422499,0.999861,1.04211,0,0.000208428
24.942,0.379819,2.60944,0,1,0,1,0.0397846,0.963552,1.00334,0,0.0546722
25.158,0.374445,2.50231,0,1,0,1,0.244057,0.925866,1.16992,0,0.111201
25.36,0.368972,2.43511,0,1,0,1,0.4424,0.86308,1.30548,0,0.205381
25.538,0.366167,2.41042,0,1,0,1,0.745054,0.890361,1.63542,0,0.164458
25.734,0.366197,2.41038,0,1,0,1,0.798237,0.697989,1.49623,0,0.453017
25.92,0.36614,2.40894,0,1,0,1,0.804051,0.572829,1.37688,0,0.640756
26.114,0.366155,2.40822,0,1,0,1,0.809621,0.404509,1.21413,0,0.893237
26.311,0.366193,2.40759,0,1,0,1,0.81267,0.00642187,0.819091,0.149864,0.969513
26.525,0.368179,2.40089,0,1,0,1,0.818886,0.00436839,0.823254,0.144891,0.354015
26.723,0.376534,2.37914,0,1,0,1,0.875277,0.0674316,0.942708,0.0997786,0.331513
26.931,0.389121,2.35573,0,1,0,1,0.728605,0.00102955,0.729635,0.217116,-0.00154432
27.137,0.401375,2.33596,0,1,0,1,0.476245,0.168968,0.645214,0.419004,-0.253453
27.336,0.426285,2.29773,0,1,0,1,0.858386,0.0180119,0.876398,0.113291,0.0270179
27.534,0.467297,2.24159,0,1,0,1,0.884092,0.0254225,0.909514,0.0927266,0.0381337
27.731,0.483294,2.22234,0,1,0,1,0.688526,0.175674,0.8642,0.249179,-0.263511
27.936,0.505362,2.1961,0,1,0,1,0.444899,0.329485,0.774384,0.444081,-0.494228
28.138,0.536332,2.15706,0,1,0,1,0.895858,0.0353132,0.931171,0.0833135,-0.0529697
28.338,0.574252,2.11248,0,1,0,1,0.923455,0.0189492,0.942404,0.0612361,-0.0284239
28.528,0.589835,2.09569,0,1,0,1,0.931924,0.0608802,0.992804,0,-0.0913203
28.724,0.594763,2.09053,0,1,0,1,0.956839,0.00371692,0.960556,0.0345291,0.00557538
28.925,0.597679,2.08756,0,1,0,1,0.955916,0.0101947,0.96611,0.0352676,0.015292
29.128,0.602376,2.0827,0,1,0,1,0.956499,0.00303404,0.959533,0.0348011,0.00455105
29.328,0.607917,2.07696,0,1,0,1,0.958912,0.00712611,0.966038,0.0328703,-0.0106892
29.528,0.611913,2.07284,0,1,0,1,1,0,1,0,0
29.728,0.615554,2.06908,0,1,0,1,1,0,1,0,0
29.93,0.617037,2.06761,0,1,0,1,0.990004,0.000344922,0.990349,0,-0.000517383
30.127,0.617788,2.06688,0,1,0,1,1,0,1,0,0
30.326,0.617269,2.06739,0,1,0,1,1,0,1,0,0
30.528,0.617396,2.06727,0,1,0,1,1,0,1,0,0
30.729,0.617399,2.06728,0,1,0,1,1,0,1,0,0
30.931,0.617425,2.06726,0,1,0,1,1,0,1,0,0
31.127,0.617632,2.06707,0,1,0,1,1,0,1,0,0
31.33,0.617406,2.06728,0,1,0,1,1,0,1,0,0
31.53,0.617277,2.06741,0,1,0,1,1,0,1,0,0
31.73,0.617176,2.0675,0,1,0,1,1,0,1,0,0
31.927,0.617046,2.06762,0,1,0,1,1,0,1,0,0
32.129,0.61706,2.06761,0,1,0,1,1,0,1,0,0
32.329,0.616915,2.06775,0,1,0,1,1,0,1,0,0
32.532,0.617309,2.06737,0,1,0,1,1,0,1,0,0
32.732,0.617101,2.06758,0,1,0,1,1,0,1,0,0
32.933,0.617205,2.06748,0,1,0,1,1,0,1,0,0
33.136,0.617326,2.06737,0,1,0,1,1,0,1,0,0
